date,year,month,day,weekday,quarter,revenue,cost,operating_profit,net_profit,active_users,orders,avg_order_value,conversion_rate,satisfaction_score,churn_rate,new_signups,repeat_purchase_rate,marketing_cost,roi,domestic_ratio,overseas_ratio,online_ratio,offline_ratio
2022-01-01,2022,1,1,Saturday,Q1,6308,3898,2410,1871,450,94,67.0,3.41,71.8,2.9,21,29.9,573,420.6,56.7,43.3,41.0,59.0
2022-01-02,2022,1,2,Sunday,Q1,7442,4943,2499,2087,530,111,67.0,4.96,75.0,6.01,32,30.6,505,494.9,59.7,40.3,44.2,55.8
2022-01-03,2022,1,3,Monday,Q1,10715,6455,4260,3098,534,159,67.0,4.21,73.7,7.68,26,30.7,757,562.7,67.4,32.6,38.3,61.7
2022-01-04,2022,1,4,Tuesday,Q1,9067,5811,3256,2687,451,134,68.0,3.41,73.4,5.0,21,31.9,528,616.7,71.4,28.6,36.7,63.3
2022-01-05,2022,1,5,Wednesday,Q1,8702,5805,2897,2198,432,129,67.0,4.11,73.1,5.22,27,26.4,714,405.7,74.5,25.5,42.5,57.5
2022-01-06,2022,1,6,Thursday,Q1,11469,7262,4207,3144,569,169,68.0,2.41,76.2,2.93,34,31.0,889,473.2,67.1,32.9,37.5,62.5
2022-01-07,2022,1,7,Friday,Q1,9333,6076,3257,2280,463,137,68.0,3.35,73.9,3.56,13,33.5,860,378.7,65.0,35.0,36.7,63.3
2022-01-08,2022,1,8,Saturday,Q1,6199,3871,2328,1822,438,91,68.0,2.01,70.4,4.45,25,34.8,423,550.4,70.6,29.4,36.0,64.0
2022-01-09,2022,1,9,Sunday,Q1,6955,4183,2772,2088,491,102,68.0,4.29,79.8,5.63,16,28.2,453,611.9,62.5,37.5,43.6,56.4
2022-01-10,2022,1,10,Monday,Q1,11602,7175,4427,3338,573,170,68.0,3.38,72.4,5.36,25,25.9,675,655.9,55.2,44.8,39.3,60.7
2022-01-11,2022,1,11,Tuesday,Q1,9903,6120,3783,2926,488,144,69.0,3.53,78.2,2.53,28,27.5,795,475.8,60.0,40.0,39.3,60.7
2022-01-12,2022,1,12,Wednesday,Q1,11700,7598,4102,2924,576,170,69.0,4.65,78.3,4.35,18,26.8,668,614.1,68.5,31.5,35.8,64.2
2022-01-13,2022,1,13,Thursday,Q1,11536,7060,4476,3318,568,167,69.0,3.47,72.4,4.55,42,33.6,1037,431.6,58.8,41.2,35.3,64.7
2022-01-14,2022,1,14,Friday,Q1,10983,6671,4312,3549,540,159,69.0,4.69,74.4,4.02,40,26.0,954,452.0,60.8,39.2,40.3,59.7
2022-01-15,2022,1,15,Saturday,Q1,7676,4848,2828,2347,538,111,69.0,4.03,76.8,6.82,24,29.9,636,444.7,69.3,30.7,38.8,61.2
2022-01-16,2022,1,16,Sunday,Q1,7401,4589,2812,2284,518,106,70.0,2.28,71.5,5.88,35,30.4,395,711.9,63.5,36.5,35.8,64.2
2022-01-17,2022,1,17,Monday,Q1,10801,6533,4268,3058,529,155,70.0,4.52,75.4,3.49,27,27.4,938,455.0,68.8,31.2,38.1,61.9
2022-01-18,2022,1,18,Tuesday,Q1,11478,7987,3491,2958,562,165,70.0,2.12,72.4,7.09,23,26.0,1073,325.3,68.1,31.9,37.5,62.5
2022-01-19,2022,1,19,Wednesday,Q1,11317,7503,3814,3132,553,162,70.0,2.87,79.7,6.56,32,27.7,927,411.4,72.5,27.5,39.6,60.4
2022-01-20,2022,1,20,Thursday,Q1,9714,6649,3065,2569,474,139,70.0,3.41,76.5,3.09,21,34.9,871,351.9,70.7,29.3,41.6,58.4
2022-01-21,2022,1,21,Friday,Q1,11718,7483,4235,3337,571,167,70.0,4.96,77.0,5.39,32,29.6,1011,418.9,65.1,34.9,42.7,57.3
2022-01-22,2022,1,22,Saturday,Q1,8140,5693,2447,1992,566,115,71.0,4.18,74.2,6.93,26,34.8,675,362.5,63.7,36.3,37.5,62.5
2022-01-23,2022,1,23,Sunday,Q1,7284,5013,2271,1632,506,103,71.0,3.42,74.1,4.4,38,28.0,401,566.3,59.5,40.5,39.7,60.3
2022-01-24,2022,1,24,Monday,Q1,12306,8579,3727,2977,598,174,71.0,2.44,73.3,7.01,19,27.9,689,540.9,70.3,29.7,38.2,61.8
2022-01-25,2022,1,25,Tuesday,Q1,13879,8815,5064,3782,518,151,92.0,2.46,75.8,6.65,17,30.8,1193,424.5,71.2,28.8,40.5,59.5
2022-01-26,2022,1,26,Wednesday,Q1,15961,10185,5776,4795,595,173,92.0,3.17,74.0,2.02,29,31.3,850,679.5,57.6,42.4,38.0,62.0
2022-01-27,2022,1,27,Thursday,Q1,15686,10176,5510,4559,584,169,93.0,4.86,73.8,6.77,43,34.9,1423,387.2,57.4,42.6,44.9,55.1
2022-01-28,2022,1,28,Friday,Q1,15412,10770,4642,3394,574,166,93.0,3.19,72.9,6.5,20,30.7,886,523.9,67.3,32.7,43.7,56.3
2022-01-29,2022,1,29,Saturday,Q1,9332,6088,3244,2279,496,100,93.0,4.82,72.3,2.77,19,28.5,654,496.0,68.4,31.6,40.2,59.8
2022-01-30,2022,1,30,Sunday,Q1,10117,6512,3605,2746,537,108,94.0,3.33,75.0,7.22,32,33.0,756,476.9,65.1,34.9,41.2,58.8
2022-01-31,2022,1,31,Monday,Q1,13040,8173,4867,3545,484,140,93.0,4.17,73.6,5.88,18,30.4,935,520.5,59.9,40.1,35.5,64.5
2022-02-01,2022,2,1,Tuesday,Q1,11664,7438,4226,3041,562,162,72.0,4.7,75.9,3.61,13,27.6,624,677.2,67.0,33.0,41.0,59.0
2022-02-02,2022,2,2,Wednesday,Q1,11663,7382,4281,3016,561,162,72.0,4.74,71.5,4.03,26,31.6,1078,397.1,64.8,35.2,37.4,62.6
2022-02-03,2022,2,3,Thursday,Q1,11309,7789,3520,2671,544,156,72.0,4.8,76.7,1.13,11,26.1,916,384.3,75.0,25.0,40.4,59.6
2022-02-04,2022,2,4,Friday,Q1,10989,7510,3479,2720,528,152,72.0,4.91,73.8,6.89,17,32.5,1101,316.0,58.9,41.1,44.0,56.0
2022-02-05,2022,2,5,Saturday,Q1,6932,4234,2698,1972,475,95,73.0,4.23,77.8,3.64,25,31.4,498,541.8,63.3,36.7,38.3,61.7
2022-02-06,2022,2,6,Sunday,Q1,7270,4951,2319,1681,498,100,73.0,3.17,77.6,4.01,20,31.6,689,336.6,57.0,43.0,43.1,56.9
2022-02-07,2022,2,7,Monday,Q1,11775,7611,4164,3128,564,162,73.0,3.8,71.8,6.61,20,28.5,1132,367.8,56.6,43.4,36.8,63.2
2022-02-08,2022,2,8,Tuesday,Q1,11513,7994,3519,2904,551,158,73.0,4.22,75.8,4.81,11,33.2,728,483.4,63.2,36.8,43.2,56.8
2022-02-09,2022,2,9,Wednesday,Q1,11697,7399,4298,3392,559,160,73.0,3.3,77.8,4.43,16,32.3,851,505.1,65.7,34.3,41.2,58.8
2022-02-10,2022,2,10,Thursday,Q1,10924,7490,3434,2730,522,149,73.0,3.58,79.6,5.38,29,33.0,796,431.4,66.5,33.5,40.4,59.6
2022-02-11,2022,2,11,Friday,Q1,12899,8508,4391,3483,616,176,73.0,3.08,71.8,4.75,48,29.3,1266,346.8,70.6,29.4,39.3,60.7
2022-02-12,2022,2,12,Saturday,Q1,7510,4812,2698,1961,512,102,74.0,2.48,71.7,4.92,10,26.2,697,387.1,70.1,29.9,44.2,55.8
2022-02-13,2022,2,13,Sunday,Q1,7345,4650,2695,2165,500,100,73.0,2.87,79.1,1.42,26,30.1,683,394.6,72.3,27.7,38.2,61.8
